@relation lottoInfo-weka.filters.unsupervised.attribute.Remove-R1

@attribute num1 numeric
@attribute num2 numeric
@attribute num3 numeric
@attribute num4 numeric
@attribute num5 numeric
@attribute num6 numeric
@attribute bonusNum numeric
@attribute winningDate numeric

@data
6,24,31,32,38,44,8,20240525
2,19,26,31,38,41,34,20240518
1,9,12,13,20,45,3,20240511
11,13,14,15,16,45,3,20240504
3,4,9,30,33,36,7,20240427
15,16,17,25,30,31,32,20240420
7,12,23,32,34,36,8,20240413
10,16,19,32,33,38,3,20240406
11,13,20,21,32,44,8,20240330
16,20,26,36,42,44,24,20240323
3,13,30,33,43,45,4,20240316
3,7,11,20,22,41,24,20240309
10,12,13,19,33,40,2,20240302
7,19,26,37,39,44,27,20240224
6,14,30,31,40,41,29,20240217
1,3,4,29,42,45,36,20240210
6,16,34,37,39,40,11,20240203
1,7,21,30,35,38,2,20240127
10,12,29,31,40,44,2,20240120
13,14,22,26,37,38,20,20240113
6,7,13,28,36,42,41,20240106
17,26,29,30,31,43,12,20231230
3,20,28,38,40,43,4,20231223
12,16,21,24,41,43,15,20231216
14,33,34,35,37,40,4,20231209
1,12,16,19,23,43,34,20231202
8,14,28,29,34,40,12,20231125
6,7,15,22,26,40,41,20231118
10,17,22,30,35,43,44,20231111
7,18,19,26,33,45,37,20231104
6,20,23,24,28,30,44,20231028
12,19,21,29,40,45,1,20231021
4,18,31,37,42,43,40,20231014
11,21,22,30,39,44,31,20231007
13,14,18,21,34,44,16,20230930
11,16,25,27,35,36,37,20230923
4,7,17,18,38,44,36,20230916
8,12,13,29,33,42,5,20230909
3,7,14,15,22,38,17,20230902
21,26,27,32,34,42,31,20230826
1,9,16,23,24,38,17,20230819
13,16,23,31,36,44,38,20230812
4,8,18,24,37,45,6,20230805
6,10,11,14,36,38,43,20230729
4,8,17,30,40,43,34,20230722
3,7,9,33,36,37,10,20230715
1,23,24,35,44,45,10,20230708
1,6,20,27,28,41,15,20230701
6,18,28,30,32,38,15,20230624
16,18,20,23,32,43,27,20230617
1,2,11,21,30,35,39,20230610
3,6,14,22,30,41,36,20230603
1,10,18,22,28,31,44,20230527
4,7,19,26,33,35,3,20230520
7,10,19,23,28,33,18,20230513
6,11,16,19,21,32,45,20230506
3,18,19,23,32,45,24,20230429
3,6,9,18,22,35,14,20230422
3,6,22,23,24,38,30,20230415
20,31,32,40,41,45,12,20230408
4,24,27,35,37,45,15,20230401
3,10,24,33,38,45,36,20230325
7,10,22,25,34,40,27,20230318
11,23,25,30,32,40,42,20230311
8,13,19,27,40,45,12,20230304
13,20,24,32,36,45,29,20230225
4,7,12,14,22,33,31,20230218
14,19,27,28,30,45,33,20230211
22,26,29,30,34,45,15,20230204
5,17,26,27,35,38,1,20230128
21,26,30,32,33,35,44,20230121
6,12,31,35,38,43,17,20230114
3,5,13,20,21,37,17,20230107
6,12,17,21,32,39,30,20221231
2,20,33,40,42,44,32,20221224
7,16,25,29,35,36,28,20221217
6,14,15,19,21,41,37,20221210
12,17,20,26,28,36,4,20221203
3,5,12,22,26,31,19,20221126
5,14,15,23,34,43,4,20221119
6,7,9,11,17,18,45,20221112
8,16,26,29,31,36,11,20221105
2,3,6,19,36,39,26,20221029
7,16,24,27,37,44,2,20221022
2,14,15,22,27,33,31,20221015
2,5,22,32,34,45,39,20221008
9,14,34,35,41,42,2,20221001
26,31,32,33,38,40,11,20220924
